,uniqueID,text,label
0,antisexm24_uk-0,"The rise of Suella Braverman is one of the genuine mysteries of modern politics. She has no discernible charm, intellect or talent and projects cruelty like toxic radiation. Shame on any leader who puts her within a mile of power.",sexism
1,antisexm24_uk-1,"General Election please! 81,000 Tory members voting for Liz Truss is not a mandate to be Prime Minister of the UK. :ballot_box_with_ballot:",neither
2,antisexm24_uk-10,"If you think you are having a tough day spare a thought for the Queen. She is got to have a meeting with Boris Johnson and, when that is done, she is got to have a meeting with Liz Truss too.",neither
3,antisexm24_uk-100,"Already it seems Liz Truss"" ""energy price freeze"" is a sleight of hand. Reports say you will pay back a temporary freeze via higher bills over 10-20 years. While gas and oil firms keep billions in excess profits. No - make them pay! Take all their excess profits in a Windfall Tax.",neither
4,antisexm24_uk-101,@pritipatel This is not about the location of the visa application centres. Why are you still applying normal visa restrictions to ordinary Ukrainians with no links to the UK who are attempting to flee Putins war? This is the question you refuse to answer.,neither
5,antisexm24_uk-102,"eop to eat for us. 300 for a lunch for Liz Truss. 27,000 on gourmet food for Boris Johnson and his wife. Nice contrast, is not it? Why do not they go on a eop a day diet?",neither
6,antisexm24_uk-103,I hear the French press have properly taken the measure of Liz Truss. She is being referred to as The Iron Weathercock! Priceless! They have really been paying attention!,neither
7,antisexm24_uk-104,I suspect after that PMQs it is starting to dawn on Labour that they have made a mistake in underestimating @trussliz,neither
8,antisexm24_uk-105,"The magistrates decision to order the extradition of Julian Assange to the US to face 175 years in prison is disappointing. Priti Patel will now have a choice: to stand up for journalism and democracy, or sentence a man to life for exposing the truth about the War on Terror. [URL]",neither
9,antisexm24_uk-106,Caroline Lucas has dubbed Jacob Rees Mogg Fossil Fool . Excellent quip.,neither
10,antisexm24_uk-107,"A migrant detention centre has just been fire-bombed. Any Home Secretary with integrity would use temperate, judicious language. But no. Suella Braverman just referred to an ""invasion on our southern coast"" - disgusting, inflammatory and designed to whip up hate. Shame on her.",neither
11,antisexm24_uk-108,Julian Assange leaks government documents - rots in jail cell Suella Braverman leaks government documents - 6 days off work,neither
12,antisexm24_uk-109,"Weird how Boris Johnson an Priti Patel want to ""get the country *back on track*"" by stopping protestors, instead of listening to the reasons they are protesting and actually getting the country back on track.",neither
13,antisexm24_uk-11,This is who fought and won to to get #NazaninFree do not be gaslighted by @trussliz [URL],neither
14,antisexm24_uk-110,It turns out it was all a misunderstanding; Sunak thought he was agreeing to let Suella Braverman work from her home office so he would not have to see her in person,sexism
15,antisexm24_uk-111,":fire:@trussliz says she will suport individual British nationals who decide to go to Ukraine and fight Russians. In other words, let us have a beer together in Kyiv on our common victory day :United_Kingdom:",neither
16,antisexm24_uk-112,So Liz Truss says Oligarchs will have no where to hide. Try the House of Lords.,neither
17,antisexm24_uk-113,"NEW: Lib Dems call for Cabinet Office inquiry into the (re)appointment of Suella Braverman as Home Secretary, citing potential security concerns.",neither
18,antisexm24_uk-114,The Rt Hon Suella Braverman QC MP @SuellaBraverman has been appointed Secretary of State for the Home Department @UKHomeOffice. #Reshuffle [URL],neither
19,antisexm24_uk-115,"With Liz Truss you get five Tory leaders in one: the warmth of Iain Duncan Smith, the charm of Michael Howard, the gravitas of David Cameron, the wit of Theresa May and the honesty of Boris Johnson.",anti-sexism
20,antisexm24_uk-116,"Congratulations @trussliz. The EU and the UK are partners. We face many challenges together, from climate change to Russias invasion of Ukraine. I look forward to a constructive relationship, in full respect of our agreements.",neither
